fonte,codigo,titulo,tipo,subtipo,finalidade,preco_locacao,preco_venda,valor_condominio,valor_iptu,bairro,cidade,estado,endereco,latitude,longitude,dormitorios,suites,banheiros,garagens,area_total,area_construida,area_util,area_terreno,descricao,url
Abias,13385,Apartamento 1 Quarto Loteamento Municipal São Carlos 3 30m²,Apartamento,,Locacao,"1.020,00",,"295,00","48,00",Loteamento Municipal São Carlos 3,São Carlos,SP,,,,1,,,,,,30,,"Excelente oportunidade de aluguel em São Carlos! Este apartamento para locação está localizado no Loteamento Municipal São Carlos 3, um bairro tranquilo e bem estruturado, ideal para quem busca praticidade e conforto no dia a dia. Com 30 m² de área útil, o imóvel é perfeito para quem procura alugar um espaço funcional e bem distribuído.
O apartamento conta com 1 dormitório, banheiro, sala de estar aconchegante, cozinha equipada com armário, além de área de serviço e quintal pequeno, proporcionando mais comodidade para você e sua família. O ambiente é bem iluminado e arejado, tornando o imóvel ainda mais agradável para morar.
Não perca a chance de alugar este apartamento em uma localização estratégica de São Carlos, próximo a comércios, escolas e serviços essenciais. Entre em contato agora mesmo para agendar uma visita e aproveite as vantagens de morar em um imóvel que une praticidade, segurança e excelente custo-benefício no mercado de locação!
Os valores de condomínio e taxas são aproximados. Além do aluguel, será de responsabilidade do locatário o pagamento do condomínio mais as despesas ordinárias, IPTU, Seguro incêndio, energia elétrica e demais encargos previstos nos artigos 22 e 23 da Lei nº 8.245/91.",https://abiasimoveis.com.br/imovel/13385/apartamento-1-quarto-loteamento-municipal-sao-carlos-3-sao-carlos/
Abias,13386,Apartamento 1 Quarto Loteamento Municipal São Carlos 3 30m²,Apartamento,,Locacao,"1.200,00",,"295,00","48,00",Loteamento Municipal São Carlos 3,São Carlos,SP,,,,1,,,,,,30,,"Excelente oportunidade de aluguel em São Carlos! Este apartamento para locação está localizado no Loteamento Municipal São Carlos 3, uma região tranquila e de fácil acesso na cidade. Com 30 metros quadrados de área útil, o imóvel oferece ambientes bem distribuídos, perfeito para quem busca praticidade e conforto ao alugar um apartamento compacto e funcional.
O apartamento conta com 1 dormitório, 1 banheiro, área de serviço, armário, cozinha, sacada e sala de estar, proporcionando tudo o que você precisa para viver com comodidade. A sacada amplia a sensação de espaço e oferece um local extra para relaxar ou receber visitas. Ideal para estudantes, profissionais ou casais que desejam morar em um imóvel moderno e bem localizado.
Não perca a chance de alugar este imóvel e viver em um dos melhores bairros residenciais de São Carlos. Aproveite as facilidades da região, com acesso rápido a comércios, serviços e transporte público. Entre em contato agora mesmo e agende uma visita para conhecer de perto este apartamento disponível para locação!
Os valores de condomínio e taxas são aproximados. Além do aluguel, será de responsabilidade do locatário o pagamento do condomínio mais as despesas ordinárias, IPTU, Seguro incêndio, energia elétrica e demais encargos previstos nos artigos 22 e 23 da Lei nº 8.245/91.",https://abiasimoveis.com.br/imovel/13386/apartamento-1-quarto-loteamento-municipal-sao-carlos-3-sao-carlos/
Abias,13238,Kitnet/Conjugado 1 Quarto Jardim Bandeirantes 35m²,Kitnet/Conjugado,,Locacao,"1.020,00",,"225,00",.,Jardim Bandeirantes,São Carlos,SP,,,,1,,,1,,,35,,"Excelente oportunidade de locação em São Carlos! Esta kitnet para alugar está situada no bairro Jardim Bandeirantes, uma região tranquila e próxima à USP - Portaria Principal - Marginal, ideal para estudantes e profissionais que buscam praticidade no dia a dia. Com 35 m² de área útil, o imóvel oferece ambientes bem distribuídos, proporcionando conforto e funcionalidade para quem deseja morar sozinho ou dividir o espaço.
O apartamento conta com 1 dormitório, 1 banheiro, sala de estar aconchegante, cozinha equipada com armário e área de serviço. Esses diferenciais tornam esta kitnet uma excelente escolha para quem procura alugar um imóvel prático, seguro e com fácil acesso ao transporte público, comércios, supermercados e demais conveniências do bairro Jardim Bandeirantes.
Não perca a chance de morar em uma localização privilegiada de São Carlos! Agende já sua visita e garanta o aluguel desta kitnet que une conforto, praticidade e ótimo custo-benefício. Aproveite a oportunidade de alugar um imóvel que atende todas as suas necessidades de moradia com qualidade e segurança.
Os valores de condomínio e taxas são aproximados. Além do aluguel, será de responsabilidade do locatário o pagamento do condomínio mais as despesas ordinárias, IPTU, Seguro incêndio, energia elétrica e demais encargos previstos nos artigos 22 e 23 da Lei nº 8.245/91.",https://abiasimoveis.com.br/imovel/13238/kitnet_conjugado-1-quarto-jardim-bandeirantes-sao-carlos/
Abias,12711,Apartamento 2 Quartos Residencial Parati 50m²,Apartamento,,Locacao,"1.334,00",,",","40,00",Residencial Parati,São Carlos,SP,,,,2,,,1,,,50,,"Apresentamos este excelente apartamento no Residencial Parati, no Edifício Monte Logan, em São Carlos. Com 50m² de área útil, o imóvel oferece uma planta bem distribuída, composta por 2 dormitórios, sala de estar e sala de jantar integradas, proporcionando conforto e praticidade para você e sua família. A cozinha funcional e a área de serviço atendem perfeitamente às necessidades do dia a dia, tornando este apartamento uma ótima opção para quem busca qualidade de vida e comodidade.
Este apartamento conta ainda com garagem, portão eletrônico e portaria 24 horas, garantindo segurança e tranquilidade para os moradores. Entre as áreas de lazer, destaque para o salão de festas e a churrasqueira, ideais para momentos de confraternização com amigos e familiares. O condomínio oferece infraestrutura completa, tornando-se um diferencial para quem deseja morar bem em São Carlos.
Localizado em uma região valorizada, o Residencial Parati está próximo a comércios, escolas, supermercados e principais vias de acesso da cidade. Se você procura um apartamento à venda em São Carlos, com excelente custo-benefício, segurança e lazer, agende já sua visita e aproveite esta oportunidade única de morar em um dos melhores condomínios da região!
Descubra o Residencial Parati – Edifício Monte Logan, um empreendimento moderno localizado em uma das regiões mais desejadas de São Carlos. Este apartamento oferece uma infraestrutura completa para quem busca conforto, segurança e lazer, contando com churrasqueira exclusiva, salão de festas ideal para momentos especiais e portaria 24 horas, garantindo tranquilidade para toda a família. O condomínio destaca-se pela qualidade de vida, proporcionando ambientes planejados para atender todas as necessidades dos moradores.
Com localização privilegiada, o Residencial Parati facilita o acesso a importantes pontos da cidade, além de estar próximo a escolas, supermercados e áreas de lazer. Este é o imóvel perfeito para quem deseja morar bem e investir em um excelente apartamento em São Carlos. Aproveite a oportunidade de viver em um condomínio seguro, com opções de lazer e toda a comodidade que você merece. Agende sua visita e conheça de perto todas as vantagens deste empreendimento único no mercado imobiliário da região.
Os valores de condomínio e taxas são aproximados. Além do aluguel, será de responsabilidade do locatário o pagamento do condomínio mais as despesas ordinárias, IPTU, Seguro incêndio, energia elétrica e demais encargos previstos nos artigos 22 e 23 da Lei nº 8.245/91.",https://abiasimoveis.com.br/imovel/12711/apartamento-2-quartos-edificio-monte-logan-residencial-parati-sao-carlos/
Abias,12607,Apartamento 2 Quartos Romeu Tortorelli 50m²,Apartamento,,Locacao,"1.020,00",,"295,00","48,00",Romeu Tortorelli,São Carlos,SP,,,,2,,,1,,,50,,"Descubra o seu novo lar no Edifício Monte Stella, um encantador apartamento para locação no bairro Residencial Monsenhor Romeu Tortorelli, em São Carlos. Com 50 m² de área útil, este imóvel é ideal para quem busca conforto e praticidade. O apartamento conta com 2 dormitórios, 1 banheiro e uma vaga de garagem, proporcionando todo o espaço necessário para você e sua família. Além disso, as características internas como sala de estar, sala de jantar e cozinha garantem um ambiente acolhedor e funcional para o seu dia a dia.
Localizado em um bairro valorizado, o Edifício Monte Stella oferece diferenciais exclusivos que tornam a vida mais fácil e agradável. Com portaria 24 horas, portão eletrônico e áreas de lazer como playground, você terá segurança e comodidade em um só lugar. A proximidade com pontos de interesse como USF Romeu Tortorelli, mercados, academia e escolas torna este apartamento para alugar uma excelente opção para quem valoriza a praticidade do dia a dia.
Os valores de condomínio e taxas são aproximados. Além do aluguel, será de responsabilidade do locatário o pagamento do condomínio mais as despesas ordinárias, IPTU, Seguro incêndio, energia elétrica e demais encargos previstos nos artigos 22 e 23 da Lei nº 8.245/91.",https://abiasimoveis.com.br/imovel/12607/apartamento-2-quartos-edificio-monte-stella-romeu-tortorelli-sao-carlos/
Abias,12380,Apartamento 2 Quartos Jardim Bandeirantes 45m²,Apartamento,,Locacao,"1.334,00",,"300,00","50,00",Jardim Bandeirantes,São Carlos,SP,,,,2,,,1,,,45,,"Descubra o seu novo lar no Jardim Bandeirantes, em São Carlos, com este encantador apartamento no Edifício Gadu 1. Com uma área útil de 45 m², este imóvel é perfeito para quem busca conforto e praticidade. O apartamento conta com 2 dormitórios bem iluminados, ideal para famílias ou para quem deseja um espaço extra para escritório ou quarto de hóspedes. Além disso, o imóvel possui um banheiro funcional e uma área de serviço que facilita o dia a dia.
A cozinha planejada é um convite para os amantes da culinária, oferecendo uma ótima funcionalidade e espaço para preparar deliciosas refeições. A sala de estar é acolhedora e perfeita para momentos de descontração com amigos e familiares. O apartamento também conta com armários embutidos, garantindo organização e aproveitamento de espaço. Com portão eletrônico e uma vaga de garagem, você terá segurança e comodidade ao seu alcance.
Localizado em uma região tranquila e de fácil acesso, o Jardim Bandeirantes é uma excelente escolha para quem busca qualidade de vida. Próximo a supermercados, escolas e áreas de lazer, este apartamento oferece tudo o que você precisa para viver bem. Não perca a oportunidade de agendar uma visita e conhecer pessoalmente este incrível imóvel. Venha viver em um lugar que une conforto, segurança e praticidade!
Descubra o seu novo lar no coração do Jardim Bandeirantes, em São Carlos! Este encantador apartamento de 45,0 m² é perfeito para quem busca conforto e praticidade. Com 2 dormitórios aconchegantes e 1 banheiro bem planejado, o Edifício Gadu 1 oferece um ambiente acolhedor para você e sua família. Aproveite a sala de estar iluminada e a cozinha funcional, ideal para preparar deliciosas refeições.
O apartamento também conta com uma área de serviço que facilita o seu dia a dia, além de armários embutidos que otimizam o espaço e mantêm tudo organizado. A garagem proporciona segurança e comodidade, enquanto o portão eletrônico garante tranquilidade e privacidade para os moradores. Este é o lugar perfeito para quem valoriza qualidade de vida e um ambiente seguro.
Localizado em uma região tranquila e bem estruturada, o Edifício Gadu 1 é uma excelente oportunidade para locação. Aproveite a chance de viver em um dos melhores bairros de São Carlos, com fácil acesso a comércio, escolas e serviços. Não perca essa oportunidade única de transformar este apartamento em seu novo lar! Entre em contato e agende uma visita hoje mesmo!
Os valores de condomínio e taxas são aproximados. Além do aluguel, será de responsabilidade do locatário o pagamento do condomínio mais as despesas ordinárias, IPTU, Seguro incêndio, energia elétrica e demais encargos previstos nos artigos 22 e 23 da Lei nº 8.245/91.",https://abiasimoveis.com.br/imovel/12380/apartamento-2-quartos-edificio-gadu-1-jardim-bandeirantes-sao-carlos/
Abias,3246,Apartamento 2 Quartos Jardim Bethânia 52m²,Apartamento,,Locacao,"1.120,00",,"300,00","40,00",Jardim Bethânia,São Carlos,SP,,,,2,,,1,,,52,,"Excelente oportunidade de aluguel em São Carlos! Este apartamento está localizado no Edifício Pegasus, no bairro Jardim Bethânia, uma região tranquila e com fácil acesso a importantes pontos da cidade. Com 52 m² de área útil, o imóvel conta com 2 dormitórios bem distribuídos, ideal para quem busca conforto e praticidade na hora de alugar um apartamento para morar.
O apartamento possui uma sala de estar integrada à sala de jantar, proporcionando um ambiente amplo e aconchegante para receber amigos e familiares. A cozinha é funcional e já conta com armários, além de área de serviço independente. O imóvel oferece ainda banheiro social, garagem para seu veículo e portão eletrônico, garantindo segurança e comodidade no dia a dia.
Para quem procura locação próxima à USP, Portaria IFSC e Igreja Nossa Senhora de Fátima, esta é a escolha perfeita! O bairro oferece infraestrutura completa, com fácil acesso ao transporte público, comércios e serviços. Não perca a chance de alugar este apartamento em São Carlos e viver com qualidade de vida em uma excelente localização. Agende uma visita e faça sua proposta de locação!
Descubra o conforto e a praticidade de morar no Edifício Pegasus, localizado no bairro Jardim Bethania, em São Carlos. Este empreendimento residencial oferece apartamentos modernos, ideais para quem busca qualidade de vida e segurança. O Edifício Pegasus conta com portão eletrônico, proporcionando maior comodidade e tranquilidade aos moradores. Sua localização estratégica coloca você próximo à USP - Portaria IFSC, facilitando o acesso à universidade e a importantes pontos da cidade, além de estar ao lado da Igreja Nossa Senhora de Fátima, referência no bairro.
O Edifício Pegasus é a escolha perfeita para quem deseja investir em um imóvel com excelente valorização e infraestrutura completa. O bairro Jardim Bethania é conhecido por sua tranquilidade, ruas arborizadas e fácil acesso a comércios, escolas e serviços essenciais. Aproveite a oportunidade de viver em um apartamento bem localizado, com segurança e todas as facilidades que você e sua família merecem. Entre em contato e agende uma visita para conhecer o Edifício Pegasus, o novo endereço do seu futuro em São Carlos.
Os valores de condomínio e taxas são aproximados. Além do aluguel, será de responsabilidade do locatário o pagamento do condomínio mais as despesas ordinárias, IPTU, Seguro incêndio, energia elétrica e demais encargos previstos nos artigos 22 e 23 da Lei nº 8.245/91.",https://abiasimoveis.com.br/imovel/3246/apartamento-2-quartos-edificio-pegasus-jardim-bethania-sao-carlos/
Abias,12322,Casa 1 Quarto Residencial Samambaia 60m²,Casa,,Locacao,"1.445,00",,.,"50,00",Residencial Samambaia,São Carlos,SP,,,,1,,,,,,60,,"Excelente oportunidade de aluguel em São Carlos! Esta casa para locação está situada no Residencial Samambaia, um bairro tranquilo e bem localizado, perfeito para quem busca praticidade e conforto. Com 60 m² de área útil, o imóvel oferece ambientes bem distribuídos, proporcionando funcionalidade e aconchego para você e sua família.
O imóvel conta com 1 dormitório, sala de estar espaçosa, banheiro social, cozinha arejada e área de serviço independente, além de um quintal privativo, ideal para momentos de lazer ou para quem possui animais de estimação. A casa para alugar no Residencial Samambaia é uma excelente escolha para quem valoriza qualidade de vida e fácil acesso a comércios, escolas e transporte público.
Não perca a chance de morar em uma casa confortável, pronta para receber sua família. Se você procura casa para alugar em São Carlos, essa é a opção perfeita para locação residencial, aliando localização privilegiada, praticidade e ótimo custo-benefício. Agende uma visita e venha conhecer seu novo lar!
Os valores de condomínio e taxas são aproximados. Além do aluguel, será de responsabilidade do locatário o pagamento do condomínio mais as despesas ordinárias, IPTU, Seguro incêndio, energia elétrica e demais encargos previstos nos artigos 22 e 23 da Lei nº 8.245/91.",https://abiasimoveis.com.br/imovel/12322/casa-1-quarto-residencial-samambaia-sao-carlos/
Abias,11831,Casa 2 Quartos Vila Celina 60m²,Casa,,Locacao,"1.500,00",,.,"35,00",Vila Celina,São Carlos,SP,,,,2,,,1,,,60,,"Excelente oportunidade de aluguel em São Carlos! Esta casa para locação está situada no bairro Vila Celina, uma região tranquila e com fácil acesso à Ufscar, ideal para estudantes e famílias que buscam praticidade no dia a dia. O imóvel possui 60m² de área útil, bem distribuídos em dois dormitórios, sala de estar aconchegante e banheiro social, oferecendo conforto e funcionalidade para quem deseja alugar um imóvel bem localizado.
A casa conta ainda com cozinha, área de serviço independente e quintal, perfeito para momentos de lazer ao ar livre. O imóvel dispõe de garagem, proporcionando maior comodidade e segurança para você e sua família. A proximidade com a Universidade Federal de São Carlos é um grande diferencial para quem procura locação próxima a centros acadêmicos e demais facilidades do bairro.
Não perca a chance de morar em um imóvel para alugar com ótima relação custo-benefício e localização privilegiada em São Carlos. Agende sua visita e venha conhecer esta casa disponível para locação em Vila Celina. Seu novo lar está esperando por você!
Os valores de condomínio e taxas são aproximados. Além do aluguel, será de responsabilidade do locatário o pagamento do condomínio mais as despesas ordinárias, IPTU, Seguro incêndio, energia elétrica e demais encargos previstos nos artigos 22 e 23 da Lei nº 8.245/91.",https://abiasimoveis.com.br/imovel/11831/casa-2-quartos-vila-celina-sao-carlos/
Abias,9121,Terreno Jardim Ricetti 190m²,Terreno,,Locacao,"1.445,00",,.,"80,00",Jardim Ricetti,São Carlos,SP,,,,,,,,190,,,,"Procurando um terreno para seu negócio no Jardim Ricetti ? Este pode ser o ideal! Ele possui:- 190 m² para você utilizar como precisar!Está próximo de mercado, farmácia, academia e muitos outros comércios locais!Não perca tempo! Ligue agora e agende uma visita conosco!
Os valores de condomínio e taxas são aproximados. Além do aluguel, será de responsabilidade do locatário o pagamento do condomínio mais as despesas ordinárias, IPTU, Seguro incêndio, energia elétrica e demais encargos previstos nos artigos 22 e 23 da Lei nº 8.245/91.",https://abiasimoveis.com.br/imovel/9121/terreno-jardim-ricetti-sao-carlos/
