fonte,codigo,titulo,tipo,subtipo,finalidade,preco_locacao,preco_venda,valor_condominio,valor_iptu,bairro,cidade,estado,endereco,latitude,longitude,dormitorios,suites,banheiros,garagens,area_total,area_construida,area_util,area_terreno,descricao,url
Center,123612,,Casas,Padrão,Locacao,"1.500,00",,,92,Jardim Hikare,São Carlos,São Paulo,,-21.9936800000000,-47.9002300000000,4,,2,1,3,,,,,https://www.centerimoveis.com/imovel/locacao/casas/são-carlos/jardim-hikare/123612
Center,11012,,Apartamentos,Padrão,Locacao,"1.200,00",,160,,Cidade Jardim,São Carlos,São Paulo,,,,1,,1,1,1,50,50,,,https://www.centerimoveis.com/imovel/locacao/apartamentos/são-carlos/cidade-jardim/11012
Center,11689,,Apartamentos,Padrão,Locacao,"1.000,00",,130,,Cidade Jardim,São Carlos,São Paulo,,,,1,,1,1,1,50,100,,,https://www.centerimoveis.com/imovel/locacao/apartamentos/são-carlos/cidade-jardim/11689
Center,129059,Imóvel comercial para locação!,Comercial,Sala,Locacao,"16.667,00",,,,Jardim Bethania,São Carlos,São Paulo,,-22.0101800000000,-47.9007100000000,,,3,,,400,450,,Imóvel comercial para locação!,https://www.centerimoveis.com/imovel/locacao/comercial/são-carlos/jardim-bethania/129059
Center,129058,Casa para locação e venda!,Casas,Alto Padrão,SL,,"1.500.000,00",600,,Jardim Jockey Club,São Carlos,São Paulo,,-21.9793400000000,-47.8971300000000,6,200,5,4,3,,275,,Casa para locação e venda!,https://www.centerimoveis.com/imovel/venda/casas/são-carlos/jardim-jockey-club/129058
Center,122883,Sobrado disponível para locação,Casas,Sobrado,Locacao,"3.112,00",,,350,Jardim Botafogo,São Carlos,São Paulo,,-22.0244200000000,-47.9096000000000,4,332,2,4,3,,,,Sobrado disponível para locação,https://www.centerimoveis.com/imovel/locacao/casas/são-carlos/jardim-botafogo/122883
Center,126832,Apartamento disponível para locação.,Apartamentos,Padrão,Locacao,"1.334,00",,357.6,52.31,Jardim Ipanema,São Carlos,São Paulo,,-21.9869400000000,-47.9254300000000,2,,1,1,2,54,54,,Apartamento disponível para locação.,https://www.centerimoveis.com/imovel/locacao/apartamentos/são-carlos/jardim-ipanema/126832
Center,121773,,Casas,Padrão,Locacao,"2.450,00",,,105.47,Cidade Jardim,São Carlos,São Paulo,,-22.0007600000000,-47.8935200000000,4,125,2,4,3,,,,,https://www.centerimoveis.com/imovel/locacao/casas/são-carlos/cidade-jardim/121773
Center,129044,Apartamento Studio para locação!,Apartamentos,Studio,Locacao,"2.112,00",,406,,Parque Arnold Schimitd,São Carlos,São Paulo,,-22.0032700000000,-47.8943700000000,1,,1,,1,25,25,,Apartamento Studio para locação!,https://www.centerimoveis.com/imovel/locacao/apartamentos/são-carlos/parque-arnold-schimitd/129044
Center,129043,Casa para locação!,Casas,Alto Padrão,Locacao,"7.500,00",,580,396.27,Swiss Park,São Carlos,São Paulo,,-22.0162500000000,-47.9164600000000,4,265.45,3,4,3,,675.66,,Casa para locação!,https://www.centerimoveis.com/imovel/locacao/casas/são-carlos/swiss-park/129043
Center,129045,Apartamento para locação!,Apartamentos,Padrão,Locacao,"1.445,00",,,,Jardim Embaré,São Carlos,São Paulo,,-21.9643100000000,-47.9221400000000,2,,1,1,2,49,49,,Apartamento para locação!,https://www.centerimoveis.com/imovel/locacao/apartamentos/são-carlos/jardim-embaré/129045
