fonte,codigo,titulo,tipo,subtipo,finalidade,preco_locacao,preco_venda,valor_condominio,valor_iptu,bairro,cidade,estado,endereco,latitude,longitude,dormitorios,suites,banheiros,garagens,area_total,area_construida,area_util,area_terreno,descricao,url
Roca,76821,Lindos Apartamentos Padrão à Venda e Locação na Vila Boa Vista 1 em São Carlos,Apartamentos,Padrão,,,"215.000,00",230,,Vila Boa Vista 1,São Carlos,São Paulo,,-22.0269400000000,-47.9123800000000,2,,1,1,2,40,40,,Lindos Apartamentos Padrão à Venda e Locação na Vila Boa Vista 1 em São Carlos,https://www.roca.com.br/imovel/venda/apartamentos/são-carlos/vila-boa-vista-1/76821
Roca,61039,"Casa Padrão para Alugar na Vila Carmem, São Carlos - Conforto e Praticidade em um Só Lugar!",Casas,Padrão,Locacao,"1.834,00",,,75,Vila Carmem,São Carlos,São Paulo,,-22.0274000000000,-47.9077900000000,3,115,1,2,3,,130,,"Casa Padrão para Alugar na Vila Carmem, São Carlos - Conforto e Praticidade em um Só Lugar!",https://www.roca.com.br/imovel/locacao/casas/são-carlos/vila-carmem/61039
Roca,87639,Apartamento Padrão para Alugar no Jardim São Carlos - Conforto e Praticidade,Apartamentos,Padrão,Locacao,"1.667,00",,379,,Jardim São Carlos,São Carlos,São Paulo,,-22.0198000000000,-47.8918600000000,2,,2,1,2,76,76,,Apartamento Padrão para Alugar no Jardim São Carlos - Conforto e Praticidade,https://www.roca.com.br/imovel/locacao/apartamentos/são-carlos/jardim-são-carlos/87639
Roca,87649,Apartamento Padrão para Alugar no Distrito Industrial Miguel Abdelnur em São Carlos,Apartamentos,Padrão,Locacao,"1.500,00",,324,49,Distrito Industrial Miguel Abdelnur,São Carlos,São Paulo,,-22.0390600000000,-47.8755500000000,2,,1,1,2,50,50,,Apartamento Padrão para Alugar no Distrito Industrial Miguel Abdelnur em São Carlos,https://www.roca.com.br/imovel/locacao/apartamentos/são-carlos/distrito-industrial-miguel-abdelnur/87649
Roca,82275,"Lindos apartamentos padrão em Azulville I, São Carlos",Apartamentos,Padrão,,,"280.000,00",200,,Azulville I,São Carlos,São Paulo,,-22.0271700000000,-47.8695600000000,3,,2,1,2,50,50,,"Lindos apartamentos padrão em Azulville I, São Carlos",https://www.roca.com.br/imovel/venda/apartamentos/são-carlos/azulville-i/82275
Roca,79837,"Casa Padrão à Venda e Locação no Jardim Embaré, São Carlos - Conforto e Lazer em um Só Lugar!",Casas,Padrão,,,"530.000,00",,124,Jardim Embaré,São Carlos,São Paulo,,-21.9687100000000,-47.9326800000000,4,140,2,4,3,,250,,"Casa Padrão à Venda e Locação no Jardim Embaré, São Carlos - Conforto e Lazer em um Só Lugar!",https://www.roca.com.br/imovel/venda/casas/são-carlos/jardim-embaré/79837
Roca,7567,Sobrado para Alugar na Vila Boa Vista em São Carlos - Conforto e Sofisticação,Casas,Sobrado,Locacao,"3.889,00",,,457,Vila Boa Vista,São Carlos,São Paulo,,-22.0296500000000,-47.9001200000000,6,200,5,4,3,,250,,Sobrado para Alugar na Vila Boa Vista em São Carlos - Conforto e Sofisticação,https://www.roca.com.br/imovel/locacao/casas/são-carlos/vila-boa-vista/7567
Roca,35316,Casa Padrão para Alugar em São Carlos - 2 Dormitórios no Bairro Cidade Jardim,Casas,Padrão,Locacao,"1.556,00",,,40,Cidade Jardim,São Carlos,São Paulo,,-22.0014700000000,-47.8957500000000,2,50,1,1,2,,100,,Casa Padrão para Alugar em São Carlos - 2 Dormitórios no Bairro Cidade Jardim,https://www.roca.com.br/imovel/locacao/casas/são-carlos/cidade-jardim/35316
Roca,35356,"Apartamento Padrão para Alugar no Jardim Gibertoni, São Carlos - Conforto e Praticidade",Apartamentos,Padrão,,,"430.000,00",650,150,Jardim Gibertoni,São Carlos,São Paulo,,-22.0193700000000,-47.9075800000000,4,,2,2,3,78,78,,"Apartamento Padrão para Alugar no Jardim Gibertoni, São Carlos - Conforto e Praticidade",https://www.roca.com.br/imovel/venda/apartamentos/são-carlos/jardim-gibertoni/35356
Roca,49293,"Apartamento Padrão à Venda e Locação no Jardim Alvorada, São Carlos - Conforto e Praticidade",Apartamentos,Padrão,,,"410.000,00",417,85,Jardim Alvorada,São Carlos,São Paulo,,-22.0089700000000,-47.9062100000000,3,,2,1,2,60,60,,"Apartamento Padrão à Venda e Locação no Jardim Alvorada, São Carlos - Conforto e Praticidade",https://www.roca.com.br/imovel/venda/apartamentos/são-carlos/jardim-alvorada/49293
Roca,54608,Sobrado para Alugar no Jardim Real em São Carlos - Conforto e Espaço para Sua Família!,Casas,Sobrado,Locacao,"2.112,00",,,,JARDIM REAL,São Carlos,São Paulo,,-22.0020900000000,-47.8731800000000,4,110,3,4,3,,125,,Sobrado para Alugar no Jardim Real em São Carlos - Conforto e Espaço para Sua Família!,https://www.roca.com.br/imovel/locacao/casas/são-carlos/jardim-real/54608
Roca,55508,Barracão/Galpão Comercial para Alugar no Bairro Ceat em São Carlos - Oportunidade Imperdível!,Comercial,Barracão/Galpão,Locacao,"70.000,00",,,,Ceat,São Carlos,São Paulo,,-22.0724700000000,-47.8792300000000,,,4,,,3400,5000,,Barracão/Galpão Comercial para Alugar no Bairro Ceat em São Carlos - Oportunidade Imperdível!,https://www.roca.com.br/imovel/locacao/comercial/são-carlos/ceat/55508
Roca,76797,Salão Comercial para Alugar no Jardim Paulistano em São Carlos - Oportunidade Imperdível!,Comercial,Salão,Locacao,"1.112,00",,,25,Jardim Paulistano,São Carlos,São Paulo,,-21.9931100000000,-47.8976600000000,,,1,,,30,30,,Salão Comercial para Alugar no Jardim Paulistano em São Carlos - Oportunidade Imperdível!,https://www.roca.com.br/imovel/locacao/comercial/são-carlos/jardim-paulistano/76797
Roca,82887,Casa Padrão para alugar na Vila Boa Vista em São Carlos,Casas,Padrão,Locacao,"2.112,00",,,75,Vila Boa Vista,São Carlos,São Paulo,,-22.0258300000000,-47.9071700000000,2,110,1,2,2,,120,,Casa Padrão para alugar na Vila Boa Vista em São Carlos,https://www.roca.com.br/imovel/locacao/casas/são-carlos/vila-boa-vista/82887
Roca,87525,Casa Padrão para Alugar na Vila Brasília em São Carlos - Conforto e Praticidade,Casas,Padrão,Locacao,"3.112,00",,,115,Vila Brasília,São Carlos,São Paulo,,-21.9969600000000,-47.8830000000000,4,200,2,,3,,250,,Casa Padrão para Alugar na Vila Brasília em São Carlos - Conforto e Praticidade,https://www.roca.com.br/imovel/locacao/casas/são-carlos/vila-brasília/87525
Roca,87544,"Apartamento Padrão para Alugar na Vila Lutfalla, São Carlos - Conforto e Praticidade",Apartamentos,Padrão,Locacao,"1.462,00",,430,,Vila Lutfalla,São Carlos,São Paulo,,-22.0356100000000,-47.8659900000000,2,,1,1,2,51,51,,"Apartamento Padrão para Alugar na Vila Lutfalla, São Carlos - Conforto e Praticidade",https://www.roca.com.br/imovel/locacao/apartamentos/são-carlos/vila-lutfalla/87544
Roca,40810,Casa Padrão para Alugar no Jardim Botafogo 1 em São Carlos - Conforto e Praticidade,Casas,Padrão,Locacao,"1.778,00",,,70,Jardim Botafogo 1,São Carlos,São Paulo,,-22.0238500000000,-47.9104800000000,2,100,1,2,2,,120,,Casa Padrão para Alugar no Jardim Botafogo 1 em São Carlos - Conforto e Praticidade,https://www.roca.com.br/imovel/locacao/casas/são-carlos/jardim-botafogo-1/40810
Roca,87615,Casa Padrão para Alugar no Residencial Santo Antonio em São Carlos - Conforto e Praticidade,Casas,Padrão,Locacao,"2.000,00",,,30,Residencial Santo Antonio,São Carlos,São Paulo,,,,3,50,2,4,2,,245,,Casa Padrão para Alugar no Residencial Santo Antonio em São Carlos - Conforto e Praticidade,https://www.roca.com.br/imovel/locacao/casas/são-carlos/residencial-santo-antonio/87615
Roca,85195,"Apartamento Padrão à Venda e Locação no Jardim São João Batista, São Carlos",Apartamentos,Padrão,,,"300.000,00",346,75,Jardim São João Batista,São Carlos,São Paulo,,-22.0035600000000,-47.8785600000000,2,,1,1,2,85,111,,"Apartamento Padrão à Venda e Locação no Jardim São João Batista, São Carlos",https://www.roca.com.br/imovel/venda/apartamentos/são-carlos/jardim-são-joão-batista/85195
Roca,47976,Salão Comercial à Venda no Centro de São Carlos - Oportunidade Imperdível!,Comercial,Salão,Locacao,"3.334,00",,,140,CENTRO,São Carlos,São Paulo,,-22.0149200000000,-47.8856700000000,,,2,,,100,100,,Salão Comercial à Venda no Centro de São Carlos - Oportunidade Imperdível!,https://www.roca.com.br/imovel/locacao/comercial/são-carlos/centro/47976
Roca,10090,"Apartamento Padrão para Alugar no Parque Santa Mônica em São Carlos - 3 Dormitórios, 1 Suíte",Apartamentos,Padrão,Locacao,"2.156,00",,446,113,Parque Santa Mônica,São Carlos,São Paulo,,-22.0199000000000,-47.9125800000000,4,,2,2,3,70,70,,"Apartamento Padrão para Alugar no Parque Santa Mônica em São Carlos - 3 Dormitórios, 1 Suíte",https://www.roca.com.br/imovel/locacao/apartamentos/são-carlos/parque-santa-mônica/10090
Roca,87630,Casa Padrão para Alugar no Bairro Maria Stella Faga em São Carlos - Conforto e Praticidade!,Casas,Padrão,Locacao,"1.556,00",,,37,Maria Stella Faga,São Carlos,São Paulo,,-22.0030200000000,-47.8564900000000,2,70,1,6,2,,172,,Casa Padrão para Alugar no Bairro Maria Stella Faga em São Carlos - Conforto e Praticidade!,https://www.roca.com.br/imovel/locacao/casas/são-carlos/maria-stella-faga/87630
Roca,75169,Casa Padrão à Venda e Locação no Planalto Paraíso - São Carlos,Casas,Padrão,,,"430.000,00",,105,Planalto Paraíso,São Carlos,São Paulo,,-22.0053900000000,-47.9167900000000,2,125,2,2,2,,150,,Casa Padrão à Venda e Locação no Planalto Paraíso - São Carlos,https://www.roca.com.br/imovel/venda/casas/são-carlos/planalto-paraíso/75169
Roca,27340,"Apartamentos à venda e locação no Centro, São Carlos",Apartamentos,Padrão,,,"286.000,00",570,77,SILVIO VILARI,São Carlos,São Paulo,,-22.0157000000000,-47.8918500000000,2,,1,1,2,76,76,,"Apartamentos à venda e locação no Centro, São Carlos",https://www.roca.com.br/imovel/venda/apartamentos/são-carlos/silvio-vilari/27340
Roca,28954,Loft Moderno à Venda e Locação no Jardim São Carlos - Conforto e Praticidade,Apartamentos,Loft,,,"170.000,00",880,,Jardim São Carlos,São Carlos,São Paulo,,-22.0177600000000,-47.8814500000000,1,,1,1,1,40,40,,Loft Moderno à Venda e Locação no Jardim São Carlos - Conforto e Praticidade,https://www.roca.com.br/imovel/venda/apartamentos/são-carlos/jardim-são-carlos/28954
Roca,50635,"Apartamento Padrão para Alugar na Vila Costa do Sol, São Carlos - Conforto e Praticidade!",Apartamentos,Padrão,Locacao,"1.445,00",,355,58,Vila Costa do Sol,São Carlos,São Paulo,,-22.0032500000000,-47.8833500000000,2,,1,1,2,60,60,,"Apartamento Padrão para Alugar na Vila Costa do Sol, São Carlos - Conforto e Praticidade!",https://www.roca.com.br/imovel/locacao/apartamentos/são-carlos/vila-costa-do-sol/50635
Roca,57361,Apartamento Padrão para Alugar no Jardim São Carlos - Conforto e Praticidade,Apartamentos,Padrão,Locacao,"1.112,00",,,45,Jardim São Carlos,São Carlos,São Paulo,,-22.0177200000000,-47.8894000000000,1,,1,,1,45,45,,Apartamento Padrão para Alugar no Jardim São Carlos - Conforto e Praticidade,https://www.roca.com.br/imovel/locacao/apartamentos/são-carlos/jardim-são-carlos/57361
Roca,80913,Apartamento Padrão para Alugar no Jardim Centenário em São Carlos - Conforto e Praticidade,Apartamentos,Padrão,Locacao,"834,00",,,,Jardim Centenário,São Carlos,São Paulo,,-21.9967400000000,-47.9053900000000,1,,1,1,1,30,30,,Apartamento Padrão para Alugar no Jardim Centenário em São Carlos - Conforto e Praticidade,https://www.roca.com.br/imovel/locacao/apartamentos/são-carlos/jardim-centenário/80913
Roca,35738,Casa Padrão para Alugar no Jardim Santa Paula em São Carlos – Conforto e Praticidade!,Casas,Padrão,Locacao,"2.112,00",,,80,Jardim Santa Paula,São Carlos,São Paulo,,-21.9978700000000,-47.9005600000000,2,250,1,2,2,,250,,Casa Padrão para Alugar no Jardim Santa Paula em São Carlos – Conforto e Praticidade!,https://www.roca.com.br/imovel/locacao/casas/são-carlos/jardim-santa-paula/35738
Roca,68266,Apartamento Padrão à Venda e Locação no Centro de São Carlos - Conforto e Praticidade,Apartamentos,Padrão,,,"742.000,00",1375,305,CENTRO,São Carlos,São Paulo,,-22.0124600000000,-47.8936500000000,4,,2,1,3,100,100,,Apartamento Padrão à Venda e Locação no Centro de São Carlos - Conforto e Praticidade,https://www.roca.com.br/imovel/venda/apartamentos/são-carlos/centro/68266
Roca,24424,Salão Comercial para Alugar no Centro de São Carlos - Oportunidade Imperdível!,Comercial,Salão,Locacao,"11.000,00",,,250,CENTRO,São Carlos,São Paulo,,-22.0216900000000,-47.8907000000000,,,2,,,200,200,,Salão Comercial para Alugar no Centro de São Carlos - Oportunidade Imperdível!,https://www.roca.com.br/imovel/locacao/comercial/são-carlos/centro/24424
Roca,87580,"Casa Padrão para Alugar na Vila Prado, São Carlos - Conforto e Praticidade em um Só Lugar!",Casas,Padrão,Locacao,"2.900,00",,,110,Vila Prado,São Carlos,São Paulo,,-22.0290100000000,-47.8956100000000,2,200,1,3,2,,250,,"Casa Padrão para Alugar na Vila Prado, São Carlos - Conforto e Praticidade em um Só Lugar!",https://www.roca.com.br/imovel/locacao/casas/são-carlos/vila-prado/87580
