fonte,codigo,titulo,tipo,subtipo,finalidade,preco_locacao,preco_venda,valor_condominio,valor_iptu,bairro,cidade,estado,endereco,latitude,longitude,dormitorios,suites,banheiros,garagens,area_total,area_construida,area_util,area_terreno,descricao,url
Center,127300,Sala disponível para locação.,Comercial,Salão,Locacao,"1.112,00",,,,Parque Maria Stella Fagá,São Carlos,São Paulo,,-22.00138,-47.85691,,,2.0,,,35.0,35.0,,Sala disponível para locação.,https://www.centerimoveis.com/imovel/locacao/comercial/são-carlos/parque-maria-stella-fagá/127300
Center,123612,,Casas,Padrão,Locacao,"1.500,00",,,"92,00",Jardim Hikare,São Carlos,São Paulo,,-21.99368,-47.90023,4.0,,2.0,1.0,,,,,,https://www.centerimoveis.com/imovel/locacao/casas/são-carlos/jardim-hikare/123612
Center,11012,,Apartamentos,Padrão,Locacao,"1.200,00",,"160,00",,Cidade Jardim,São Carlos,São Paulo,,-22.0106925,-47.9018206,1.0,,1.0,1.0,50.0,50.0,50.0,,,https://www.centerimoveis.com/imovel/locacao/apartamentos/são-carlos/cidade-jardim/11012
Center,11689,,Apartamentos,Padrão,Locacao,"1.000,00",,"130,00",,Cidade Jardim,São Carlos,São Paulo,,-22.0106925,-47.9018206,1.0,,1.0,1.0,100.0,50.0,50.0,,,https://www.centerimoveis.com/imovel/locacao/apartamentos/são-carlos/cidade-jardim/11689
Center,129058,Casa para locação e venda!,Casas,Alto Padrão,SL,,"1.500.000,00","600,00",,Jardim Jockey Club,São Carlos,São Paulo,,-21.97934,-47.89713,6.0,200.0,5.0,4.0,275.0,,275.0,200.0,Casa para locação e venda!,https://www.centerimoveis.com/imovel/venda/casas/são-carlos/jardim-jockey-club/129058
Center,129059,Imóvel comercial para locação!,Comercial,Sala,Locacao,"16.667,00",,,,Jardim Bethania,São Carlos,São Paulo,,-22.01018,-47.90071,,,3.0,,450.0,400.0,400.0,,Imóvel comercial para locação!,https://www.centerimoveis.com/imovel/locacao/comercial/são-carlos/jardim-bethania/129059
Center,122883,Sobrado disponível para locação,Casas,Sobrado,Locacao,"3.112,00",,,"350,00",Jardim Botafogo,São Carlos,São Paulo,,-22.02442,-47.9096,4.0,332.0,2.0,4.0,,,,332.0,Sobrado disponível para locação,https://www.centerimoveis.com/imovel/locacao/casas/são-carlos/jardim-botafogo/122883
Center,126832,Apartamento disponível para locação.,Apartamentos,Padrão,Locacao,"1.334,00",,"357,60","52,31",Jardim Ipanema,São Carlos,São Paulo,,-21.98694,-47.92543,2.0,,1.0,1.0,54.0,54.0,54.0,,Apartamento disponível para locação.,https://www.centerimoveis.com/imovel/locacao/apartamentos/são-carlos/jardim-ipanema/126832
Center,121773,,Casas,Padrão,Locacao,"2.450,00",,,"105,47",Cidade Jardim,São Carlos,São Paulo,,-22.00076,-47.89352,4.0,125.0,2.0,4.0,,,,125.0,,https://www.centerimoveis.com/imovel/locacao/casas/são-carlos/cidade-jardim/121773
Center,129043,Casa para locação!,Casas,Alto Padrão,Locacao,"7.500,00",,"580,00","396,27",Swiss Park,São Carlos,São Paulo,,-22.01625,-47.91646,4.0,265.45,3.0,4.0,675.66,,675.66,265.45,Casa para locação!,https://www.centerimoveis.com/imovel/locacao/casas/são-carlos/swiss-park/129043
Center,129044,Apartamento Studio para locação!,Apartamentos,Studio,Locacao,"2.112,00",,"406,00",,Parque Arnold Schimitd,São Carlos,São Paulo,,-22.00327,-47.89437,1.0,,1.0,,25.0,25.0,25.0,,Apartamento Studio para locação!,https://www.centerimoveis.com/imovel/locacao/apartamentos/são-carlos/parque-arnold-schimitd/129044
Center,129045,Apartamento para locação!,Apartamentos,Padrão,Locacao,"1.445,00",,,,Jardim Embaré,São Carlos,São Paulo,,-21.96431,-47.92214,2.0,,1.0,1.0,49.0,49.0,49.0,,Apartamento para locação!,https://www.centerimoveis.com/imovel/locacao/apartamentos/são-carlos/jardim-embaré/129045
Center,13452,,Apartamentos,Padrão,Locacao,"1.112,00",,"390,00",,Jardim Ricetti,São Carlos,São Paulo,,-22.02592,-47.87712,4.0,,2.0,1.0,100.0,58.0,58.0,,,https://www.centerimoveis.com/imovel/locacao/apartamentos/são-carlos/jardim-ricetti/13452
Center,128293,Casa para locação versátil (Residencial ou Comercial),Casas,Padrão,Locacao,"3.334,00",,,"96,00",Jardim Brasil,São Carlos,São Paulo,,-22.02057,-47.88309,2.0,111.57,1.0,2.0,301.99,,301.99,111.57,Casa para locação versátil (Residencial ou Comercial),https://www.centerimoveis.com/imovel/locacao/casas/são-carlos/jardim-brasil/128293
Center,129032,Barracão para locação!,Comercial,Barracão/Galpão,Locacao,"3.500,00",,,,Parque Industrial,São Carlos,São Paulo,,-21.98792,-47.90232,,,1.0,,400.0,300.0,300.0,,Barracão para locação!,https://www.centerimoveis.com/imovel/locacao/comercial/são-carlos/parque-industrial/129032
Center,129028,Apartamento para locação!,Apartamentos,Padrão,Locacao,"1.667,00",,"472,00",,Vila Irene,São Carlos,São Paulo,,-22.03092,-47.88323,2.0,,1.0,1.0,59.0,59.0,59.0,,Apartamento para locação!,https://www.centerimoveis.com/imovel/locacao/apartamentos/são-carlos/vila-irene/129028
Center,129029,Sala comercial para locação!,Comercial,Sala,Locacao,"3.389,00",,,"10,00",Centro,São Carlos,São Paulo,,-22.00911,-47.89179,,,1.0,,80.0,80.0,80.0,,Sala comercial para locação!,https://www.centerimoveis.com/imovel/locacao/comercial/são-carlos/centro/129029
Center,129030,Apartamento para locação!,Apartamentos,Cobertura,Locacao,"5.556,00",,"822,00","320,00",Parque Faber,São Carlos,São Paulo,,-22.01625,-47.91646,4.0,,2.0,2.0,101.0,101.0,101.0,,Apartamento para locação!,https://www.centerimoveis.com/imovel/locacao/apartamentos/são-carlos/parque-faber/129030
Center,129031,Casa para locação!,Casas,Alto Padrão,Locacao,"11.112,00",,"800,00","430,00",Parque Tecnológico Damha I,São Carlos,São Paulo,,-21.9597,-47.89737,6.0,240.0,5.0,4.0,,,,240.0,Casa para locação!,https://www.centerimoveis.com/imovel/locacao/casas/são-carlos/parque-tecnológico-damha-i/129031
Center,127308,Apartamento disponível para locação.,Apartamentos,Padrão,Locacao,"1.000,00",,"316,00","61,00",Jardim Ipanema,São Carlos,São Paulo,,-21.98694,-47.92543,2.0,,1.0,,,,,,Apartamento disponível para locação.,https://www.centerimoveis.com/imovel/locacao/apartamentos/são-carlos/jardim-ipanema/127308
Center,129027,Apartamento Studio para locação!,Apartamentos,Studio,Locacao,"1.649,00",,"215,00",,Jardim Lutfalla,São Carlos,São Paulo,,-22.00443,-47.89592,1.0,,1.0,,32.0,32.0,32.0,,Apartamento Studio para locação!,https://www.centerimoveis.com/imovel/locacao/apartamentos/são-carlos/jardim-lutfalla/129027
Center,129010,,Casas,Padrão,Locacao,"3.334,00",,,,Jardim Ricetti,São Carlos,São Paulo,,-22.02661,-47.87795,4.0,170.0,3.0,3.0,170.0,,170.0,170.0,,https://www.centerimoveis.com/imovel/locacao/casas/são-carlos/jardim-ricetti/129010
Center,129011,Apartamento Flat para locação!,Apartamentos,Flat,Locacao,"2.612,00",,"175,00","50,00",Jardim Paulistano,São Carlos,São Paulo,,-21.9974,-47.89847,1.0,,1.0,1.0,45.0,45.0,45.0,,Apartamento Flat para locação!,https://www.centerimoveis.com/imovel/locacao/apartamentos/são-carlos/jardim-paulistano/129011
Center,129012,Sala comercial para locação!,Comercial,Sala,Locacao,"612,00",,,,Centro,São Carlos,São Paulo,,-22.01928,-47.88854,,,3.0,,,18.0,18.0,,Sala comercial para locação!,https://www.centerimoveis.com/imovel/locacao/comercial/são-carlos/centro/129012
