fonte,codigo,titulo,tipo,subtipo,finalidade,preco_locacao,preco_venda,valor_condominio,valor_iptu,bairro,cidade,estado,endereco,dormitorios,suites,banheiros,garagens,area_total,area_construida,area_util,area_terreno,descricao,url,latitude,longitude
Cardinali,237897,Valor do aluguel está incluso condômino e IPTU,Apartamento,Padrao,Locacao,"1.112,00",,",",.,Romeu Santini,São Carlos,SP,,2.0,,1.0,1.0,,,50.0,,"Valor do aluguel está incluso condômino e IPTU
Cozinha completa de armários, fogão cooktop e forno embutido
Lavanderia com armários 
Banheiro com box e espelho 
Locação de Apartamento Padrão no bairro Romeu Santini em São Carlos/SP. O imóvel possui 2 dormitórios, 1 garagem e uma área útil de 50,00 m², totalizando 50,00 m². Ideal para quem busca conforto e praticidade em uma localização tranquila. Para mais informações, entre em contato.",https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Romeu-Santini/237897,-22.0264736,-47.9172726
Cardinali,237895,Sala comercial com ótima localização.,Comercial,Salao,Locacao,"5.556,00",,1,",",Vila Marina,São Carlos,SP,,,,2.0,5.0,,90.0,,90.0,"Locação de salão comercial no bairro Vila Marina, São Carlos/SP. 
O imóvel possui 90,00 m² de área construída e 90,00 m² de área de terreno, além de contar com 5 garagens. 
Uma ótima oportunidade para quem busca um espaço bem localizado para o seu negócio.
 Para mais informações, entre em contato.
IPTU, SAAE e CPFL rateado.",https://www.cardinali.com.br/alugar/Sao-Carlos/Comercial/Salao/Vila-Marina/237895,-21.9954779,-47.8898178
Cardinali,237894,Sala comercial com ótima localização.,Comercial,Salao,Locacao,"5.556,00",,1,",",Vila Marina,São Carlos,SP,,,,2.0,5.0,,90.0,,90.0,"Locação de salão comercial no bairro Vila Marina, São Carlos/SP. 
O imóvel possui 90,00 m² de área construída e 90,00 m² de área de terreno, além de contar com 5 garagens. 
Uma ótima oportunidade para quem busca um espaço bem localizado para o seu negócio.
 Para mais informações, entre em contato.
IPTU, SAAE e CPFL rateado.",https://www.cardinali.com.br/alugar/Sao-Carlos/Comercial/Salao/Vila-Marina/237894,-21.9954779,-47.8898178
Cardinali,237884,Casa 3 dormitórios sendo 1 suíte com 2 vagas de garagem coberta e 2 descoberta.,Casa,Padrao,Locacao,"4.445,00",,",","211,00",Jardim Macarengo,São Carlos,SP,,3.0,1.0,1.0,4.0,,,,,"Você está procurando o lar ideal para sua família? Apresentamos uma excelente oportunidade de locação em um dos bairros mais tranquilos e agradáveis de São Carlos: Jardim Macarengo.

Características do Imóvel:

- Tipo: Casa Padrão
- Localização: Jardim Macarengo, São Carlos/SP
- Dormitórios: 3 amplos dormitórios, proporcionando conforto e privacidade para todos os membros da família.
- Vaga para 4 carros.
- Suíte.
- Quintal.
- Armarios.
- Garagens: 4 vagas de garagem, oferecendo comodidade e segurança para seus veículos.
- Área Total: 200,00 m²
- Área Construída: 170,00 m²

Diferenciais do Imóvel:

- Ambientes bem iluminados e arejados
- Sala de estar e jantar com espaço generoso
- Cozinha funcional com armários embutidos
- Banheiros com acabamentos de qualidade
- Quintal amplo, ideal para momentos de lazer e confraternização
- Localização estratégica, próxima a escolas, supermercados, farmácias e demais conveniências

Condições de Locação:

- Valor do aluguel: a consultar
- Garantias: fiador ou seguro fiança
- Disponibilidade: imediata

Não perca a chance de morar em um lugar que alia conforto, segurança e praticidade. Agende sua visita e venha conhecer sua nova casa no Jardim Macarengo! Para mais informações, entre em contato conosco.

Esperamos por você!",https://www.cardinali.com.br/alugar/Sao-Carlos/Casa/Padrao/Jardim-Macarengo/237884,-22.0072191,-47.8883442
Cardinali,237880,Apartamento de 2 dormitórios.,Apartamento,Padrao,Locacao,"1.889,00",,.,,Vila Lutfalla,São Carlos,SP,,2.0,,1.0,1.0,,,50.0,,"Locação de Apartamento Padrão no bairro Vila Lutfalla, São Carlos/SP. 
Portaria 24 horas.
Condomínio clube com áreas de lazer.
- Mercadinho 
- Bicicletário 
- Piscina 
- Área de churrasco 
- Área happy hour 
- Pet place
- Área kids 
- Quadra de área 
- 2 áreas de exercícios ao ar livre 
- ?espaço coworking
O imóvel possui 2 dormitórios, 1 garagem e uma área útil de 50,00 m², com área total de 60,00 m². 
Ideal para quem busca conforto e praticidade em uma localização tranquila. 
Entre em contato para mais informações e agendar uma visita!",https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Vila-Lutfalla/237880,-22.0305885,-47.8879404
Cardinali,237879,Barracão comercial.,Comercial,Barracao,Locacao,"2.000,00",,",","104,00",Jardim das Torres,São Carlos,SP,,,,1.0,1.0,,127.0,,132.0,"Locação de Barracão Comercial no bairro Jardim das Torres em São Carlos/SP. O imóvel possui 127,00 m² de área construída e 132,00 m² de área de terreno. 
Conta com 1 garagem. 
Ideal para o seu negócio. Para mais informações, entre em contato.",https://www.cardinali.com.br/alugar/Sao-Carlos/Comercial/Barracao/Jardim-das-Torres/237879,-22.0322837,-47.913088
Cardinali,237878,Próximo Shopping,Apartamento,Padrao,Locacao,"7.000,00",,"730,00","513,00",Parque Faber Castell I,São Carlos,SP,,3.0,1.0,1.0,3.0,,,,,"Locação de Apartamento Padrão no bairro Parque Faber Castell I, São Carlos/SP. O imóvel possui 3 dormitórios, 3 garagens e área útil de 117,00 m², com a mesma metragem para a área total. Um ótimo espaço para quem busca conforto e praticidade. Para mais informações, entre em contato.",https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Parque-Faber-Castell-I/237878,,
Cardinali,237869,Próximo USP,Apartamento,Padrao,Locacao,"1.667,00",,"295,57","25,93",Jardim Paraíso,São Carlos,SP,,1.0,,1.0,,30.0,,30.0,,"Próximo USP 100% mobiliado
Possui cama caso inquilino precise 
Sem garagem
Se você está procurando um apartamento padrão para locação no bairro Jardim Paraíso em São Carlos/SP com 1 dormitório, recomendo verificar plataformas de imóveis e sites de anúncios locais, como OLX, Zap Imóveis e Imovelweb. Esses sites geralmente têm uma variedade de opções e você pode filtrar os resultados de acordo com suas preferências, como preço, tamanho e características do imóvel. Além disso, pode ser útil entrar em contato com imobiliárias da região para obter mais informações e agendar visitas.",https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Paraiso/237869,-22.0098993,-47.9022196
Cardinali,237868,Casa 3 Dormitórios sendo 1 Suíte com edícula 2 Dormitórios no fundo,Casa,Padrao,Locacao,"3.778,00",,1,"130,00",Vila Marina,São Carlos,SP,,5.0,1.0,3.0,2.0,,,,,"Se você está em busca do lar ideal para sua família, não perca a oportunidade de conhecer esta incrível casa disponível para locação no charmoso bairro Vila Marina, em São Carlos/SP. 

Características do Imóvel:
- Tipo: Casa Padrão
- Dormitórios: 5 amplos dormitórios, proporcionando espaço e conforto para todos.
- Garagens: 2 vagas de garagem, garantindo praticidade e segurança para seus veículos.
- Área Construída: 210,00 m², oferecendo um ambiente espaçoso e bem distribuído.
- Área do Terreno: 250,00 m², permitindo um quintal que pode ser utilizado para lazer ou jardinagem.

Descrição:
Esta casa apresenta um layout funcional, ideal para acomodar famílias grandes ou grupos que buscam conforto e espaço. Os dormitórios são arejados e iluminados, proporcionando um ambiente agradável. A sala de estar é ampla, perfeita para momentos de convivência e lazer em família. 

A cozinha é equipada e possui espaço suficiente para refeições, além de ser integrada a uma área de serviço prática. Os banheiros são bem distribuídos pela casa, garantindo comodidade para todos os moradores.

O quintal é um verdadeiro convite ao lazer, ideal para crianças brincarem ou para você desfrutar de momentos ao ar livre.

Localização:
Situada no bairro Vila Marina, a casa está em uma região tranquila e familiar, com fácil acesso a escolas, supermercados, parques e transporte público. A proximidade com as principais vias da cidade facilita o deslocamento para qualquer ponto de São Carlos.


Agende sua visita!
Não perca a chance de conhecer esse imóvel que pode se tornar o seu novo lar. Entre em contato agora mesmo para agendar uma visita e descobrir tudo o que esta casa tem a oferecer.

Venha viver com conforto e qualidade de vida na Vila Marina!",https://www.cardinali.com.br/alugar/Sao-Carlos/Casa/Padrao/Vila-Marina/237868,-21.9954779,-47.8898178
Cardinali,237867,Edícula com 2 Dormitórios,Casa,Edicula,Locacao,"1.334,00",,",","40,00",Vila Marina,São Carlos,SP,,2.0,,1.0,,40.0,,40.0,,"**Edícula de fundos, agua e luz são individuais, porem divide a mesma entrada da casa da frente.***

Descrição do Imóvel:

Descubra o conforto e a praticidade de viver em uma charmosa edícula localizada no tranquilo bairro Vila Marina. Com uma área útil de 40,00 m², este imóvel é ideal para quem busca um espaço aconchegante e funcional.

Características do Imóvel:

- Dormitórios: 2 dormitórios bem iluminados, proporcionando um ambiente acolhedor e arejado.
- Área Útil: 40,00 m², perfeita para acomodar sua família com conforto.
- Área Total: 40,00 m², garantindo um espaço bem distribuído para o seu dia a dia.

Localização:

Situada em um dos bairros mais procurados de São Carlos, a Vila Marina oferece fácil acesso a comércios, escolas, e opções de lazer. A tranquilidade da região é ideal para quem busca qualidade de vida, sem abrir mão da praticidade.

Diferenciais:

- Ambiente tranquilo e seguro.
- Proximidade de supermercados, farmácias e serviços essenciais.
- Fácil acesso a transportes públicos.


Não perca a oportunidade de viver em um lugar que une conforto e praticidade. Agende sua visita e venha conhecer sua nova casa na Vila Marina! 

Contato:

Para mais informações ou para agendar uma visita, entre em contato pelo telefone [inserir telefone] ou pelo e-mail [inserir e-mail]. 

Esperamos por você!",https://www.cardinali.com.br/alugar/Sao-Carlos/Casa/Edicula/Vila-Marina/237867,-21.9954779,-47.8898178
