bairro,cidade,estado,lat,lng
Romeu Santini,São Carlos,SP,-22.0264736,-47.9172726
Vila Marina,São Carlos,SP,-21.9954779,-47.8898178
Jardim Macarengo,São Carlos,SP,-22.0072191,-47.8883442
Vila Lutfalla,São Carlos,SP,-22.0305885,-47.8879404
Jardim das Torres,São Carlos,SP,-22.0322837,-47.913088
Parque Faber Castell I,São Carlos,SP,,
Jardim Paraíso,São Carlos,SP,-22.0098993,-47.9022196
Jardim Gibertoni,São Carlos,SP,-22.0189526,-47.9071237
Jardim Alvorada,São Carlos,SP,-22.0090168,-47.9066813
Condominio Residencial Montreal,São Carlos,SP,-21.9847143,-47.9291918
Jardim Santa Paula,São Carlos,SP,-22.0003467,-47.9027189
Vila Costa do Sol,São Carlos,SP,-22.0019397,-47.8835156
Cidade Jardim,São Carlos,SP,-21.9996964,-47.8937761
Centro,São Carlos,SP,-22.0220194,-47.8929316
Jardim Jockei Club A,São Carlos,SP,,
Vila São José,São Carlos,SP,-22.0025604,-47.8747895
Planalto Paraíso,São Carlos,SP,-22.0072508,-47.9113232
Jardim Lutfalla,São Carlos,SP,-22.0054872,-47.8935566
Recreio São Judas Tadeu,São Carlos,SP,-22.0339499,-47.8662214
Cidade Aracy,São Carlos,SP,-22.0566965,-47.9097321
,São Carlos,SP,-21.993173,-47.3333435
Parque Santa Monica,São Carlos,SP,-22.0111436,-47.9028055
Jardim Jockey Clube,São Carlos,SP,-21.9802119,-47.8999415
Vila Prado,São Carlos,SP,-22.0284065,-47.8991745
Jardim Sao Carlos,São Carlos,SP,-22.018327,-47.8999293
Parque Itaipu,São Carlos,SP,-22.0639258,-47.8089166
Vila Brasília,São Carlos,SP,-21.9991353,-47.8848872
Jardim Beatriz,São Carlos,SP,-22.0399963,-47.9055823
Parque Fehr,São Carlos,SP,-21.9796546,-47.936367
Vila Boa Vista 1,São Carlos,SP,-22.0279787,-47.9100268
Jardim Ricetti,São Carlos,SP,-22.0275426,-47.8783422
Vila Morumbi,São Carlos,SP,-22.0451117,-47.8848132
Jardim Tangara,São Carlos,SP,-22.0138133,-47.8565609
Moradas Sao Carlos III,São Carlos,SP,,
Nucleo Residencial Silvio Vilari,São Carlos,SP,-22.023032,-47.8941417
Jardim Brasil,São Carlos,SP,-22.0210652,-47.8784729
Residencial Samambaia,São Carlos,SP,-21.955984,-47.8849015
Jardim Bethania,São Carlos,SP,-22.0143855,-47.9001784
Jardim Nova Sao Carlos,São Carlos,SP,-22.0310496,-47.8735153
Jardim Bandeirantes,São Carlos,SP,-22.001537,-47.9073556
Parque Faber,São Carlos,SP,-22.0179277,-47.9074794
Jardim Nova Santa Paula,São Carlos,SP,-21.9977262,-47.9000495
Jardim Centenario,São Carlos,SP,-21.9982136,-47.9058905
Parque Faber I,São Carlos,SP,-22.0161568,-47.9193351
Parque Novo Mundo,São Carlos,SP,-22.0649926,-47.8829952
Vila Marcelino,São Carlos,SP,-22.0296504,-47.8827053
Loteamento Tutoya do Vale,São Carlos,SP,,
Vila Izabel,São Carlos,SP,-22.0389081,-47.8795693
Jardim Ipanema,São Carlos,SP,-21.9885287,-47.9302266
