fonte,codigo,titulo,tipo,subtipo,finalidade,preco_locacao,preco_venda,valor_condominio,valor_iptu,bairro,cidade,estado,endereco,latitude,longitude,dormitorios,suites,banheiros,garagens,area_total,area_construida,area_util,area_terreno,descricao,url
Roca,81056,"Casa de luxo de 4 suítes com piscina no Parque Faber Castell, São Carlos",Casas,Condomínio,,,"1.800.000,00","640,00",,Parque Faber Castell,São Carlos,São Paulo,,-22.01643,-47.91987,4.0,,5.0,2.0,448.0,333.8,333.8,,"Casa de luxo de 4 suítes com piscina no Parque Faber Castell, São Carlos",https://www.roca.com.br/imovel/venda/casas/são-carlos/parque-faber-castell/81056
Roca,63752,"Casa Padrão para Alugar na Vila Monteiro, São Carlos - Conforto e Praticidade",Casas,Padrão,Locacao,"2.000,00",,,"130,00",VILA MONTEIRO,São Carlos,São Paulo,,-22.01704,-47.88374,2.0,,1.0,2.0,202.5,151.88,151.88,,"Casa Padrão para Alugar na Vila Monteiro, São Carlos - Conforto e Praticidade",https://www.roca.com.br/imovel/locacao/casas/são-carlos/vila-monteiro/63752
Roca,62873,Apartamento Padrão para Alugar em São Carlos - Vila Monteiro Gleba I com 3 Dormitórios e Garagem,Apartamentos,Padrão,Locacao,"1.334,00",,"410,00","81,00",Vila Monteiro Gleba I,São Carlos,São Paulo,,-22.0247,-47.88769,3.0,,1.0,1.0,50.0,50.0,50.0,,Apartamento Padrão para Alugar em São Carlos - Vila Monteiro Gleba I com 3 Dormitórios e Garagem,https://www.roca.com.br/imovel/locacao/apartamentos/são-carlos/vila-monteiro-gleba-i/62873
Roca,12548,"Casa Padrão à Venda e Locação na Vila Celina, São Carlos - Oportunidade Imperdível!",Casas,Padrão,,,"447.000,00",,"43,00",Vila Celina,São Carlos,São Paulo,,-21.99373,-47.88756,2.0,,1.0,2.0,300.0,120.0,120.0,,"Casa Padrão à Venda e Locação na Vila Celina, São Carlos - Oportunidade Imperdível!",https://www.roca.com.br/imovel/venda/casas/são-carlos/vila-celina/12548
Roca,79116,Charmoso Apartamento de 2 Dormitórios com Suíte no Parque Faber Castell,Apartamentos,Padrão,,,"750.000,00","525,00","297,53",Parque Faber Castell,São Carlos,São Paulo,,,,2.0,,2.0,2.0,69.0,69.0,69.0,,Charmoso Apartamento de 2 Dormitórios com Suíte no Parque Faber Castell,https://www.roca.com.br/imovel/venda/apartamentos/são-carlos/parque-faber-castell/79116
Roca,15153,"Casa de alto padrão com piscina e churrasqueira no Jardim Macarengo, São Carlos",Casas,Padrão,,,"1.750.000,00",,"866,00",Jardim Macarengo,São Carlos,São Paulo,,-22.00771,-47.88849,4.0,,6.0,2.0,810.0,500.0,500.0,,"Casa de alto padrão com piscina e churrasqueira no Jardim Macarengo, São Carlos",https://www.roca.com.br/imovel/venda/casas/são-carlos/jardim-macarengo/15153
Roca,79633,"CASA DE 05 QUARTOS SENDO 3 SUÍTES EM JARDIM NOVA SANTA PAULA, SÃO CARLOS.",Casas,Comercial,,,"1.200.000,00",,"330,00",Jardim Nova Santa Paula,São Carlos,São Paulo,,-21.9956,-47.90007,5.0,,7.0,8.0,665.0,543.0,543.0,,"CASA DE 05 QUARTOS SENDO 3 SUÍTES EM JARDIM NOVA SANTA PAULA, SÃO CARLOS.",https://www.roca.com.br/imovel/venda/casas/são-carlos/jardim-nova-santa-paula/79633
Roca,24553,"Apartamento Padrão para Alugar no Jardim Gibertoni, São Carlos - Conforto e Praticidade",Apartamentos,Padrão,Locacao,"1.500,00",,"190,00",,Jardim Gibertoni,São Carlos,São Paulo,,-22.0195,-47.90883,1.0,,1.0,1.0,55.0,55.0,55.0,,"Apartamento Padrão para Alugar no Jardim Gibertoni, São Carlos - Conforto e Praticidade",https://www.roca.com.br/imovel/locacao/apartamentos/são-carlos/jardim-gibertoni/24553
Roca,66195,Apartamento Padrão para Alugar no Parque Faber Castell II em São Carlos - Conforto e Praticidade!,Apartamentos,Padrão,Locacao,"2.334,00",,"325,00","109,00",Parque Faber Castell II,São Carlos,São Paulo,,-22.01498,-47.91203,2.0,,1.0,1.0,50.0,50.0,50.0,,Apartamento Padrão para Alugar no Parque Faber Castell II em São Carlos - Conforto e Praticidade!,https://www.roca.com.br/imovel/locacao/apartamentos/são-carlos/parque-faber-castell-ii/66195
Roca,68566,Apartamento Padrão à Vendano Residencial Parati em São Carlos,Apartamentos,Padrão,,,"328.600,00","370,00","103,00",Residencial Parati,São Carlos,São Paulo,,-21.9929311,-47.9190129,2.0,,2.0,1.0,47.45,47.45,47.45,,Apartamento Padrão à Vendano Residencial Parati em São Carlos,https://www.roca.com.br/imovel/venda/apartamentos/são-carlos/residencial-parati/68566
