fonte,codigo,titulo,tipo,subtipo,finalidade,preco_locacao,preco_venda,valor_condominio,valor_iptu,bairro,cidade,estado,endereco,latitude,longitude,dormitorios,suites,banheiros,garagens,area_total,area_construida,area_util,area_terreno,descricao,url
Sape,1778,CENTRO,APARTAMENTO,,Locacao,"1.112,00",,"1.000,00",,CENTRO,São Carlos,SP,,-22.0220194,-47.8929316,0,0,1,0,,,50.0,,"➡️ 02 Dormitórios
➡️ Banheiro
➡️ Sala
➡️ Cozinha / Lavanderia ( gabinetes serão instalados na cozinha e banheiro )
➡️ 02 Dormitórios➡️ Banheiro➡️ Sala➡️ Cozinha / Lavanderia ( gabinetes serão instalados na cozinha e banheiro )
Mais de 20 anos conectando pessoas ao imóvel ideal com seriedade, transparência e segurança.
Sapé Consultoria de Imóveis S/S Ltda.- CRECI 19.146-J© 2026 Sapé Imóveis. Todos os direitos reservados.",https://www.sapeimoveis.com.br/Detalhes?id=1778&opcao=2
Sape,489,CENTRO,APARTAMENTO,,Locacao,"1.556,00",,"300,00","56,00",CENTRO,São Carlos,SP,,-22.0220194,-47.8929316,2,0,1,1,,,0.0,,"Dois dormitórios, sendo 01 com armário, banheiro social com gabinete e box, sala dois ambientes com sacada, balcão divisório, cozinha com gabinetes e armário, área de serviço com a...
Dois dormitórios, sendo 01 com armário, banheiro social com gabinete e box, sala dois ambientes com sacada, balcão divisório, cozinha com gabinetes e armário, área de serviço com armário e uma vaga de garagem coberta
Mais de 20 anos conectando pessoas ao imóvel ideal com seriedade, transparência e segurança.
Sapé Consultoria de Imóveis S/S Ltda.- CRECI 19.146-J© 2026 Sapé Imóveis. Todos os direitos reservados.",https://www.sapeimoveis.com.br/Detalhes?id=489&opcao=2
Sape,2418,VL BOA VISTA 1,APARTAMENTO,,Locacao,"1.556,00",,,"100,00",VL BOA VISTA 1,São Carlos,SP,,-22.034209,-47.8987459,2,0,1,1,,,,,"➡️ 02 Dormitórios 
➡️ Banheiro social 
➡️ Sala para dois ambientes com sacada 
➡️ Cozinha / Lavanderia 
➡️ 01 vaga de Garagem 
➡️ Condomínio fechado com portaria, salão de fes...
➡️ 02 Dormitórios➡️ Banheiro social➡️ Sala para dois ambientes com sacada➡️ Cozinha / Lavanderia➡️ 01 vaga de Garagem➡️ Condomínio fechado com portaria, salão de festas, playground, área de lazer com churrasqueira e piscina
Mais de 20 anos conectando pessoas ao imóvel ideal com seriedade, transparência e segurança.
Sapé Consultoria de Imóveis S/S Ltda.- CRECI 19.146-J© 2026 Sapé Imóveis. Todos os direitos reservados.",https://www.sapeimoveis.com.br/Detalhes?id=2418&opcao=2
Sape,3160,CID JARDIM,APARTAMENTO,,Locacao,"1.612,00",,"220,00","47,00",CID JARDIM,São Carlos,SP,,-22.0106925,-47.9018206,1,0,1,1,,,,,"➡️ Apartamento mobiliado / Ar condicionado no quarto / Cozinha planejada 
➡️ Sala para dois ambientes 
➡️ 01 Dormitório / Sacada
➡️ Banheiro social
➡️ 01 vaga de Garagem
➡️ Apartamento mobiliado / Ar condicionado no quarto / Cozinha planejada➡️ Sala para dois ambientes➡️ 01 Dormitório / Sacada➡️ Banheiro social➡️ 01 vaga de Garagem
Mais de 20 anos conectando pessoas ao imóvel ideal com seriedade, transparência e segurança.
Sapé Consultoria de Imóveis S/S Ltda.- CRECI 19.146-J© 2026 Sapé Imóveis. Todos os direitos reservados.",https://www.sapeimoveis.com.br/Detalhes?id=3160&opcao=2
Sape,2587,PQ ARNOLD SCHIMIDT,APARTAMENTO,,Locacao,"1.612,00",,"276,68","68,61",PQ ARNOLD SCHIMIDT,São Carlos,SP,,,,2,0,1,1,,,,,"☑️ 02 Dormitórios  ( Ambos com armários )
☑️ Banheiro Social ;
☑️ Sala para dois ambientes ; 
☑️ Cozinha / Lavanderia ;
☑️ 01 vaga de Garagem .
➡️ Condomínio com portaria 24 h...
☑️ 02 Dormitórios  ( Ambos com armários )☑️ Banheiro Social ;☑️ Sala para dois ambientes ;☑️ Cozinha / Lavanderia ;☑️ 01 vaga de Garagem .➡️ Condomínio com portaria 24 horas e elevadores .
Mais de 20 anos conectando pessoas ao imóvel ideal com seriedade, transparência e segurança.
Sapé Consultoria de Imóveis S/S Ltda.- CRECI 19.146-J© 2026 Sapé Imóveis. Todos os direitos reservados.",https://www.sapeimoveis.com.br/Detalhes?id=2587&opcao=2
Sape,2684,CENTRO,SALAO,,Locacao,"1.667,00",,,"92,00",CENTRO,São Carlos,SP,,-22.0220194,-47.8929316,0,0,2,0,,,180.0,,"➡️ Salão comercial com 180 m² de área útil em sua totalidade
➡️ 02 Banheiros
➡️ 03 ambientes ideias para depósitos
➡️ Salão comercial com 180 m² de área útil em sua totalidade➡️ 02 Banheiros➡️ 03 ambientes ideias para depósitos
Mais de 20 anos conectando pessoas ao imóvel ideal com seriedade, transparência e segurança.
Sapé Consultoria de Imóveis S/S Ltda.- CRECI 19.146-J© 2026 Sapé Imóveis. Todos os direitos reservados.",https://www.sapeimoveis.com.br/Detalhes?id=2684&opcao=2
Sape,3051,PQ ARNOLD SCHIMIDT,APARTAMENTO,,Locacao,"1.800,00",,"498,00","88,55",PQ ARNOLD SCHIMIDT,São Carlos,SP,,,,2,0,1,2,,,,,"Excelente apartamento, bem localizado, contendo ampla sala de estar com 02 ambientes com ventilador de teto e sacada, cozinha e lavanderia com armários e bancada em granito, 02 dor...
Excelente apartamento, bem localizado, contendo ampla sala de estar com 02 ambientes com ventilador de teto e sacada, cozinha e lavanderia com armários e bancada em granito, 02 dormitórios, ambos com armários, ventiladores de teto e sacadas, banheiro social com armário, espelho, gabinete, box e chuveiro. Acabamento em porcelanato. 02 vagas de garagem descoberta. Condomínio fechado, com elevador social e área de lazer com churrasqueira.
Mais de 20 anos conectando pessoas ao imóvel ideal com seriedade, transparência e segurança.
Sapé Consultoria de Imóveis S/S Ltda.- CRECI 19.146-J© 2026 Sapé Imóveis. Todos os direitos reservados.",https://www.sapeimoveis.com.br/Detalhes?id=3051&opcao=2
Sape,6847,JD MACARENGO,CASA,,Locacao,"2.000,00",,,"80,00",JD MACARENGO,São Carlos,SP,,,,1,0,1,1,,,,,"➡️ 01 Dormitório
➡️ Banheiro social
➡️ Sala de estar
➡️ Cozinha
➡️ Lavanderia
➡️ Garagem para 01 auto com portão automatizado
➡️ 01 Dormitório➡️ Banheiro social➡️ Sala de estar➡️ Cozinha➡️ Lavanderia➡️ Garagem para 01 auto com portão automatizado
Mais de 20 anos conectando pessoas ao imóvel ideal com seriedade, transparência e segurança.
Sapé Consultoria de Imóveis S/S Ltda.- CRECI 19.146-J© 2026 Sapé Imóveis. Todos os direitos reservados.",https://www.sapeimoveis.com.br/Detalhes?id=6847&opcao=2
Sape,637,TERRA NOVA,CASA,,Locacao,"2.000,00",,"282,00","40,00",TERRA NOVA,São Carlos,SP,,-21.986095,-47.9392609,2,1,1,2,,,,,"➡️ 02 Dormitórios sendo 01 Suíte
➡️ Banheiro social
➡️ Sala para dois ambientes
➡️ Cozinha 
➡️ Lavanderia / Quintal
➡️ 02 vagas de Garagem
➡️ Condomínio com portaria 24 horas...
➡️ 02 Dormitórios sendo 01 Suíte➡️ Banheiro social➡️ Sala para dois ambientes➡️ Cozinha➡️ Lavanderia / Quintal➡️ 02 vagas de Garagem➡️ Condomínio com portaria 24 horas, área de lazer com churrasqueiras, mini campo, playground, piscina e áreas verdes.
Mais de 20 anos conectando pessoas ao imóvel ideal com seriedade, transparência e segurança.
Sapé Consultoria de Imóveis S/S Ltda.- CRECI 19.146-J© 2026 Sapé Imóveis. Todos os direitos reservados.",https://www.sapeimoveis.com.br/Detalhes?id=637&opcao=2
Sape,3414,CENTRO,SALAO,,Locacao,"2.000,00",,,"58,46",CENTRO,São Carlos,SP,,-22.0220194,-47.8929316,0,0,1,0,,,,,"➡️ Salão em localização central
➡️ Aproximadamente 40 m²
➡️ 01 Banheiro
➡️ Agende sua visita
➡️ Salão em localização central➡️ Aproximadamente 40 m²➡️ 01 Banheiro➡️ Agende sua visita
Mais de 20 anos conectando pessoas ao imóvel ideal com seriedade, transparência e segurança.
Sapé Consultoria de Imóveis S/S Ltda.- CRECI 19.146-J© 2026 Sapé Imóveis. Todos os direitos reservados.",https://www.sapeimoveis.com.br/Detalhes?id=3414&opcao=2
